layer,norm_ratio,cosine,rel_delta,nll_hybrid,dnll_vs_base
0,0.3286,0.48,0.8983,1.5924,0.4898
1,1.6798,0.1714,0.4583,1.7089,0.6063
2,0.7064,0.3618,0.2794,1.2014,0.0988
3,0.6209,0.3711,0.2846,1.1547,0.0521
4,0.5557,0.4282,0.4224,1.1523,0.0496
5,0.6091,0.5536,0.2435,1.138,0.0354
6,0.4665,0.51,0.6464,1.1397,0.0371
7,0.4738,0.544,0.6891,1.148,0.0454
8,0.5059,0.5786,0.6559,1.1491,0.0464
9,0.5246,0.5668,0.6763,1.1279,0.0253
10,0.5316,0.5663,0.664,1.1398,0.0371
11,0.5797,0.5668,0.631,1.1383,0.0356
12,0.5421,0.5351,0.6408,1.1288,0.0261
13,0.5855,0.5021,0.6243,1.1214,0.0188
14,0.5594,0.5764,0.6224,1.1333,0.0307
15,0.6039,0.5219,0.6437,1.1267,0.024
16,0.5696,0.4524,0.6661,1.1354,0.0328
17,0.5186,0.474,0.7208,1.1325,0.0298
18,0.5071,0.4616,0.771,1.1441,0.0415
19,0.4803,0.5847,0.9208,1.1545,0.0518
20,0.4857,0.4636,0.9306,1.1463,0.0437
21,0.4554,0.5058,1.0063,1.1651,0.0624
22,0.4423,0.4958,1.0739,1.1656,0.063
23,0.4397,0.4653,1.1097,1.1568,0.0542
24,0.4064,0.4355,1.3227,1.165,0.0624
25,0.4359,0.3502,1.3641,1.1712,0.0685
26,0.4474,0.2992,1.916,1.2233,0.1207
27,0.399,0.4246,3.9098,1.4582,0.3555
