family,strategy,k,pass@1,passed,total,net_vs_base,chi2_vs_base,p_vs_base,net_vs_rand,p_vs_rand
spot,base,0.01,0.2722,43,158,,,,,
spot,coder,0.01,0.3861,61,158,18,8.5,0.004,12,0.045
spot,v1,0.01,0.0127,2,158,-41,39.02,0.0,-47,0.0
spot,v2,0.01,0.057,9,158,-34,30.25,0.0,-40,0.0
spot,v3,0.01,0.0,0,158,-43,41.02,0.0,-49,0.0
spot,rand,0.01,0.3101,49,158,6,1.79,0.181,,
spot,perm,0.01,0.0,0,158,-43,41.02,0.0,-49,0.0
spot,ndhi,0.01,0.1266,20,158,-23,17.93,0.0,-29,0.0
spot,ndlo,0.01,0.2785,44,158,1,0.0,1.0,-5,0.332
spot,vhi,0.01,0.0823,13,158,-30,28.03,0.0,-36,0.0
spot,vlo,0.01,0.2975,47,158,4,0.75,0.386,-2,0.789
spot,reverse,0.01,0.057,9,158,-34,28.66,0.0,-40,0.0
bridge,base,0.01,0.2722,43,158,,,,,
bridge,coder,0.01,0.3861,61,158,18,8.5,0.004,19,0.003
bridge,v1,0.01,0.2025,32,158,-11,4.76,0.029,-10,0.055
bridge,v2,0.01,0.2911,46,158,3,0.36,0.546,4,0.386
bridge,v3,0.01,0.2089,33,158,-10,4.05,0.044,-9,0.095
bridge,rand,0.01,0.2658,42,158,-1,0.0,1.0,,
bridge,perm,0.01,0.0443,7,158,-36,34.03,0.0,-35,0.0
bridge,ndhi,0.01,0.1582,25,158,-18,10.32,0.001,-17,0.002
bridge,ndlo,0.01,0.2848,45,158,2,0.5,0.48,3,0.45
bridge,vhi,0.01,0.2848,45,158,2,0.08,0.773,3,0.505
bridge,vlo,0.01,0.2848,45,158,2,0.1,0.752,3,0.606
bridge,reverse,0.01,0.4051,64,158,21,10.81,0.001,22,0.001
