strategy,language,passed,total,pass@1
base,py,60,164,0.3659
base,java,43,158,0.2722
base,cpp,48,161,0.2981
base,js,60,161,0.3727
base,go,108,154,0.7013
base,POOLED,319,798,0.3997
coder,py,72,164,0.439
coder,java,61,158,0.3861
coder,cpp,67,161,0.4161
coder,js,76,161,0.472
coder,go,118,154,0.7662
coder,POOLED,394,798,0.4937
v2,py,61,164,0.372
v2,java,46,158,0.2911
v2,cpp,53,161,0.3292
v2,js,52,161,0.323
v2,go,109,154,0.7078
v2,POOLED,321,798,0.4023
rand,py,58,164,0.3537
rand,java,42,158,0.2658
rand,cpp,50,161,0.3106
rand,js,59,161,0.3665
rand,go,106,154,0.6883
rand,POOLED,315,798,0.3947
