ref,strat,language,b_refY_sN,c_refN_sY,net,chi2,p
base,coder,py,11,23,12,3.56,0.059
base,coder,java,8,26,18,8.5,0.004
base,coder,cpp,8,27,19,9.26,0.002
base,coder,js,10,26,16,6.25,0.012
base,coder,go,18,28,10,1.76,0.185
base,coder,CMH,55,130,75,29.6,0.0
base,v2,py,5,6,1,0.0,1.0
base,v2,java,4,7,3,0.36,0.546
base,v2,cpp,3,8,5,1.45,0.228
base,v2,js,10,2,-8,4.08,0.043
base,v2,go,9,10,1,0.0,1.0
base,v2,CMH,31,33,2,0.02,0.901
base,rand,py,6,4,-2,0.1,0.752
base,rand,java,4,3,-1,0.0,1.0
base,rand,cpp,4,6,2,0.1,0.752
base,rand,js,2,1,-1,0.0,1.0
base,rand,go,6,4,-2,0.1,0.752
base,rand,CMH,22,18,-4,0.23,0.635
rand,v2,py,5,8,3,0.31,0.579
rand,v2,java,4,8,4,0.75,0.386
rand,v2,cpp,5,8,3,0.31,0.579
rand,v2,js,10,3,-7,2.77,0.096
rand,v2,go,9,12,3,0.19,0.663
rand,v2,CMH,33,39,6,0.35,0.556
