mode,k,alpha,modules,pass@1,passed,compile_err,selected,pred_dL,net_vs_base,p_vs_base
base,-,-,-,0.2722,43,31,0,,,
coder,-,-,-,0.3861,61,25,0,,,
T,0.0001,0.003,ffn2-25,0.2785,44,32,99072,-0.298,1,1.0
T,0.0001,0.01,ffn2-25,0.2785,44,31,99072,-0.994,1,1.0
T,0.0001,0.03,ffn2-25,0.2722,43,31,99072,-2.98,0,0.48
T,0.001,0.003,ffn2-25,0.2722,43,31,990936,-2.54,0,0.48
T,0.001,0.01,ffn2-25,0.2785,44,32,990936,-8.47,1,1.0
T,0.001,0.03,ffn2-25,0.2722,43,34,990936,-25.4,0,0.48
descent-rand,0.001,0.01,ffn2-25,0.2848,45,31,990936,-1.09,2,0.48
gain,0.001,0.01,ffn2-25,0.2722,43,35,990936,-30.8,0,0.48
matched-rand,0.001,0.01,ffn2-25,0.2785,44,30,990936,-0.00567,1,1.0
