mask,k,alpha,pass@1,passed,compile_err,selected,pred_dL,net_vs_base,p_vs_base
base,-,-,0.2722,43,31,0,,,
coder,-,-,0.3861,61,25,0,,,
matched-rand,0.001,0.01,0.2785,44,30,990936,-5.67e-03,1,1.0
abs,0.001,0.01,0.2785,44,30,990936,-0.133,1,1.0
abs,0.001,0.03,0.2722,43,31,990936,-0.393,0,0.617
abs-not-signed,0.001,0.01,0.2595,41,33,503043,0.0196,-2,0.617
abs-not-signed,0.001,0.03,0.2848,45,30,503043,0.0593,2,0.48
signed-and-abs,0.001,0.01,0.2785,44,31,487893,-0.152,1,1.0
signed-and-abs,0.001,0.03,0.2848,45,32,487893,-0.452,2,0.617
signed,0.001,0.01,0.2722,43,32,990936,-0.124,0,0.617
signed,0.001,0.03,0.2848,45,32,990936,-0.368,2,0.48
