model,condition,k,HumanEval(chat),gsm8k,hellaswag,mmlu,truthfulqa_mc2,winogrande
llama-3.2-3b-it,original,-,0.5305,0.6012,0.7372,0.6056,0.5146,0.7103
llama-3.2-3b-it,code,0.0025%,0.0,0.0,0.2788,0.2562,0.4497,0.487
llama-3.2-3b-it,code,0.01%,0.0,0.0,0.26,0.2359,0.4782,0.4917
llama-3.2-3b-it,code,0.09%,0.0,0.0,0.261,0.2295,0.4873,0.5122
llama-3.2-3b-it,code,0.25%,0.0,0.0,0.2584,0.2297,0.4819,0.4893
llama-3.2-3b-it,random_seed1,0.25%,0.5427,0.4951,0.7293,0.6006,0.5095,0.7127
llama-3.2-3b-it,bottom,0.25%,0.5976,0.6156,0.7355,0.6035,0.5128,0.7119
qwen2.5-1.5b-it,original,-,0.5427,0.3146,0.6786,0.6021,0.4663,0.6496
qwen2.5-1.5b-it,code,0.0025%,0.0,0.0,0.2674,0.2542,0.503,0.4807
qwen2.5-1.5b-it,code,0.01%,0.0,0.0,0.2682,0.2461,0.4882,0.5107
qwen2.5-1.5b-it,code,0.09%,0.0,0.0,0.2691,0.2368,0.4769,0.502
qwen2.5-1.5b-it,code,0.25%,0.0,0.0,0.2642,0.2646,0.4808,0.4854
qwen2.5-1.5b-it,random_seed1,0.25%,0.4512,0.4905,0.6667,0.5958,0.4768,0.6425
qwen2.5-1.5b-it,bottom,0.25%,0.5305,0.3108,0.677,0.6036,0.465,0.6433
qwen2.5-coder-1.5b-it,original,-,0.628,0.4738,0.5837,0.4948,0.4443,0.5935
qwen2.5-coder-1.5b-it,code,0.0025%,0.0,0.0008,0.3262,0.2554,0.479,0.5249
qwen2.5-coder-1.5b-it,code,0.01%,0.0,0.0,0.2757,0.2542,0.4836,0.5051
qwen2.5-coder-1.5b-it,code,0.09%,0.0,0.0,0.2645,0.2508,0.4819,0.4996
qwen2.5-coder-1.5b-it,code,0.25%,0.0,0.0,0.2651,0.2519,0.4884,0.5107
qwen2.5-coder-1.5b-it,random_seed1,0.25%,0.5732,0.4663,0.5768,0.4829,0.4429,0.6022
qwen2.5-coder-1.5b-it,bottom,0.25%,0.6098,0.4867,0.5827,0.4948,0.4461,0.5967
